index_no,model,simulation,scenario,run,step,time,agent_name,heat_rate,agent_happiness
0,dumb_model,dumb_simulation, ,0,0,2019-11-25T17:21, ,0.0,0
1,dumb_model,dumb_simulation,Scenario1,0,0,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
2,dumb_model,dumb_simulation,Scenario1,0,0,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
3,dumb_model,dumb_simulation,Scenario1,0,0,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
4,dumb_model,dumb_simulation,Scenario1,0,1,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
5,dumb_model,dumb_simulation,Scenario1,0,1,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
6,dumb_model,dumb_simulation,Scenario1,0,1,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
7,dumb_model,dumb_simulation,Scenario1,0,2,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
8,dumb_model,dumb_simulation,Scenario1,0,2,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
9,dumb_model,dumb_simulation,Scenario1,0,2,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
10,dumb_model,dumb_simulation,Scenario1,0,3,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
11,dumb_model,dumb_simulation,Scenario1,0,3,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
12,dumb_model,dumb_simulation,Scenario1,0,3,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
13,dumb_model,dumb_simulation,Scenario1,0,4,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
14,dumb_model,dumb_simulation,Scenario1,0,4,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
15,dumb_model,dumb_simulation,Scenario1,0,4,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
16,dumb_model,dumb_simulation,Scenario1,0,5,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
17,dumb_model,dumb_simulation,Scenario1,0,5,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
18,dumb_model,dumb_simulation,Scenario1,0,5,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
19,dumb_model,dumb_simulation,Scenario1,0,6,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
20,dumb_model,dumb_simulation,Scenario1,0,6,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
21,dumb_model,dumb_simulation,Scenario1,0,6,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
22,dumb_model,dumb_simulation,Scenario1,0,7,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
23,dumb_model,dumb_simulation,Scenario1,0,7,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
24,dumb_model,dumb_simulation,Scenario1,0,7,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
25,dumb_model,dumb_simulation,Scenario1,0,8,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
26,dumb_model,dumb_simulation,Scenario1,0,8,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
27,dumb_model,dumb_simulation,Scenario1,0,8,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
28,dumb_model,dumb_simulation,Scenario1,0,9,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
29,dumb_model,dumb_simulation,Scenario1,0,9,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
30,dumb_model,dumb_simulation,Scenario1,0,9,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
31,dumb_model,dumb_simulation,Scenario1,1,0,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
32,dumb_model,dumb_simulation,Scenario1,1,0,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
33,dumb_model,dumb_simulation,Scenario1,1,0,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
34,dumb_model,dumb_simulation,Scenario1,1,1,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
35,dumb_model,dumb_simulation,Scenario1,1,1,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
36,dumb_model,dumb_simulation,Scenario1,1,1,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
37,dumb_model,dumb_simulation,Scenario1,1,2,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
38,dumb_model,dumb_simulation,Scenario1,1,2,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
39,dumb_model,dumb_simulation,Scenario1,1,2,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
40,dumb_model,dumb_simulation,Scenario1,1,3,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
41,dumb_model,dumb_simulation,Scenario1,1,3,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
42,dumb_model,dumb_simulation,Scenario1,1,3,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
43,dumb_model,dumb_simulation,Scenario1,1,4,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
44,dumb_model,dumb_simulation,Scenario1,1,4,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
45,dumb_model,dumb_simulation,Scenario1,1,4,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
46,dumb_model,dumb_simulation,Scenario1,1,5,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
47,dumb_model,dumb_simulation,Scenario1,1,5,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
48,dumb_model,dumb_simulation,Scenario1,1,5,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
49,dumb_model,dumb_simulation,Scenario1,1,6,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
50,dumb_model,dumb_simulation,Scenario1,1,6,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
51,dumb_model,dumb_simulation,Scenario1,1,6,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
52,dumb_model,dumb_simulation,Scenario1,1,7,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
53,dumb_model,dumb_simulation,Scenario1,1,7,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
54,dumb_model,dumb_simulation,Scenario1,1,7,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
55,dumb_model,dumb_simulation,Scenario1,1,8,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
56,dumb_model,dumb_simulation,Scenario1,1,8,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
57,dumb_model,dumb_simulation,Scenario1,1,8,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
58,dumb_model,dumb_simulation,Scenario1,1,9,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
59,dumb_model,dumb_simulation,Scenario1,1,9,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
60,dumb_model,dumb_simulation,Scenario1,1,9,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
61,dumb_model,dumb_simulation,Scenario1,2,0,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
62,dumb_model,dumb_simulation,Scenario1,2,0,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
63,dumb_model,dumb_simulation,Scenario1,2,0,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
64,dumb_model,dumb_simulation,Scenario1,2,1,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
65,dumb_model,dumb_simulation,Scenario1,2,1,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
66,dumb_model,dumb_simulation,Scenario1,2,1,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
67,dumb_model,dumb_simulation,Scenario1,2,2,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
68,dumb_model,dumb_simulation,Scenario1,2,2,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
69,dumb_model,dumb_simulation,Scenario1,2,2,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
70,dumb_model,dumb_simulation,Scenario1,2,3,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
71,dumb_model,dumb_simulation,Scenario1,2,3,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
72,dumb_model,dumb_simulation,Scenario1,2,3,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
73,dumb_model,dumb_simulation,Scenario1,2,4,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
74,dumb_model,dumb_simulation,Scenario1,2,4,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
75,dumb_model,dumb_simulation,Scenario1,2,4,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
76,dumb_model,dumb_simulation,Scenario1,2,5,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
77,dumb_model,dumb_simulation,Scenario1,2,5,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
78,dumb_model,dumb_simulation,Scenario1,2,5,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
79,dumb_model,dumb_simulation,Scenario1,2,6,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
80,dumb_model,dumb_simulation,Scenario1,2,6,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
81,dumb_model,dumb_simulation,Scenario1,2,6,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
82,dumb_model,dumb_simulation,Scenario1,2,7,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
83,dumb_model,dumb_simulation,Scenario1,2,7,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
84,dumb_model,dumb_simulation,Scenario1,2,7,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
85,dumb_model,dumb_simulation,Scenario1,2,8,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
86,dumb_model,dumb_simulation,Scenario1,2,8,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
87,dumb_model,dumb_simulation,Scenario1,2,8,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
88,dumb_model,dumb_simulation,Scenario1,2,9,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
89,dumb_model,dumb_simulation,Scenario1,2,9,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
90,dumb_model,dumb_simulation,Scenario1,2,9,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
91,dumb_model,dumb_simulation,Scenario1,3,0,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
92,dumb_model,dumb_simulation,Scenario1,3,0,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
93,dumb_model,dumb_simulation,Scenario1,3,0,2019-11-25T17:21,Circumspect_Bug_2,1.0031687467293882,3
94,dumb_model,dumb_simulation,Scenario1,3,1,2019-11-25T17:21,Circumspect_Bug_0,0.8804854165136199,5
95,dumb_model,dumb_simulation,Scenario1,3,1,2019-11-25T17:21,Circumspect_Bug_1,1.2074737216348086,4
