index_no,model,simulation,scenario,run,step,time,agent_name,heat_rate,agent_happiness
0,dumb_model,dumb_simulation, ,0,0,2019-11-25T17:20, ,0.0,0
1,dumb_model,dumb_simulation,Scenario1,0,0,2019-11-25T17:20,Funny_Bug_0,0.9059239023972548,2
2,dumb_model,dumb_simulation,Scenario1,0,0,2019-11-25T17:20,Funny_Bug_1,0.9704559734454308,3
3,dumb_model,dumb_simulation,Scenario1,0,0,2019-11-25T17:20,Funny_Bug_2,1.0385170747144337,4
4,dumb_model,dumb_simulation,Scenario1,0,0,2019-11-25T17:20,Funny_Bug_3,0.7687197377681558,4
5,dumb_model,dumb_simulation,Scenario1,0,0,2019-11-25T17:20,Funny_Bug_4,0.6620982604034551,2
6,dumb_model,dumb_simulation,Scenario1,0,1,2019-11-25T17:20,Funny_Bug_0,0.9059239023972548,2
7,dumb_model,dumb_simulation,Scenario1,0,1,2019-11-25T17:20,Funny_Bug_1,0.9704559734454308,3
8,dumb_model,dumb_simulation,Scenario1,0,1,2019-11-25T17:20,Funny_Bug_2,1.0385170747144337,4
9,dumb_model,dumb_simulation,Scenario1,0,1,2019-11-25T17:20,Funny_Bug_3,0.7687197377681558,4
10,dumb_model,dumb_simulation,Scenario1,0,1,2019-11-25T17:20,Funny_Bug_4,0.6620982604034551,2
11,dumb_model,dumb_simulation,Scenario1,0,2,2019-11-25T17:20,Funny_Bug_0,0.9059239023972548,2
12,dumb_model,dumb_simulation,Scenario1,0,2,2019-11-25T17:20,Funny_Bug_1,0.9704559734454308,3
13,dumb_model,dumb_simulation,Scenario1,0,2,2019-11-25T17:20,Funny_Bug_2,1.0385170747144337,4
14,dumb_model,dumb_simulation,Scenario1,0,2,2019-11-25T17:20,Funny_Bug_3,0.7687197377681558,4
15,dumb_model,dumb_simulation,Scenario1,0,2,2019-11-25T17:20,Funny_Bug_4,0.6620982604034551,2
16,dumb_model,dumb_simulation,Scenario1,0,3,2019-11-25T17:20,Funny_Bug_0,0.9059239023972548,2
17,dumb_model,dumb_simulation,Scenario1,0,3,2019-11-25T17:20,Funny_Bug_1,0.9704559734454308,3
18,dumb_model,dumb_simulation,Scenario1,0,3,2019-11-25T17:20,Funny_Bug_2,1.0385170747144337,4
19,dumb_model,dumb_simulation,Scenario1,0,3,2019-11-25T17:20,Funny_Bug_3,0.7687197377681558,4
20,dumb_model,dumb_simulation,Scenario1,0,3,2019-11-25T17:20,Funny_Bug_4,0.6620982604034551,2
21,dumb_model,dumb_simulation,Scenario1,0,4,2019-11-25T17:20,Funny_Bug_0,0.9059239023972548,2
22,dumb_model,dumb_simulation,Scenario1,0,4,2019-11-25T17:20,Funny_Bug_1,0.9704559734454308,3
23,dumb_model,dumb_simulation,Scenario1,0,4,2019-11-25T17:20,Funny_Bug_2,1.0385170747144337,4
24,dumb_model,dumb_simulation,Scenario1,0,4,2019-11-25T17:20,Funny_Bug_3,0.7687197377681558,4
25,dumb_model,dumb_simulation,Scenario1,0,4,2019-11-25T17:20,Funny_Bug_4,0.6620982604034551,2
26,dumb_model,dumb_simulation,Scenario1,0,5,2019-11-25T17:20,Funny_Bug_0,0.9059239023972548,2
27,dumb_model,dumb_simulation,Scenario1,0,5,2019-11-25T17:20,Funny_Bug_1,0.9704559734454308,3
28,dumb_model,dumb_simulation,Scenario1,0,5,2019-11-25T17:20,Funny_Bug_2,1.0385170747144337,4
29,dumb_model,dumb_simulation,Scenario1,0,5,2019-11-25T17:20,Funny_Bug_3,0.7687197377681558,4
30,dumb_model,dumb_simulation,Scenario1,0,5,2019-11-25T17:20,Funny_Bug_4,0.6620982604034551,2
31,dumb_model,dumb_simulation,Scenario1,0,6,2019-11-25T17:20,Funny_Bug_0,0.9059239023972548,2
32,dumb_model,dumb_simulation,Scenario1,0,6,2019-11-25T17:20,Funny_Bug_1,0.9704559734454308,3
