index_no,model,simulation,scenario,run,step,time,agent_name,payoff,my_play,other_play
0,ipd,ipd, ,0,0,2020-06-17T18:43, ,0,0,0
1,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_0,1,D,D
2,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_1,5,D,C
3,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_2,1,D,D
4,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_3,5,D,C
5,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_4,1,D,D
6,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_5,5,D,C
7,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_6,1,D,D
8,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_7,5,D,C
9,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_8,1,D,D
10,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_9,5,D,C
11,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_10,5,D,C
12,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_11,1,D,D
13,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_12,1,D,D
14,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_13,1,D,D
15,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_14,5,D,C
16,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_15,1,D,D
17,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_16,1,D,D
18,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_17,5,D,C
19,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_18,5,D,C
20,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,BPl_19,5,D,C
21,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_0,5,D,C
22,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_1,1,D,D
23,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_2,1,D,D
24,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_3,1,D,D
25,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_4,5,D,C
26,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_5,1,D,D
27,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_6,1,D,D
28,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_7,5,D,C
29,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_8,1,D,D
30,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_9,5,D,C
31,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_10,1,D,D
32,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_11,1,D,D
33,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_12,1,D,D
34,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_13,1,D,D
35,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_14,1,D,D
36,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_15,5,D,C
37,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_16,5,D,C
38,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_17,5,D,C
39,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_18,5,D,C
40,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,BPl_19,5,D,C
41,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_0,1,D,D
42,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_1,5,D,C
43,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_2,1,D,D
44,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_3,5,D,C
45,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_4,1,D,D
46,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_5,5,D,C
47,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_6,1,D,D
48,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_7,5,D,C
49,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_8,5,D,C
50,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_9,1,D,D
51,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_10,1,D,D
52,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_11,1,D,D
53,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_12,1,D,D
54,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_13,1,D,D
55,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_14,5,D,C
56,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_15,5,D,C
57,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_16,1,D,D
58,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_17,5,D,C
59,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_18,5,D,C
60,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,BPl_19,1,D,D
61,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_0,1,D,D
62,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_1,5,D,C
63,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_2,5,D,C
64,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_3,5,D,C
65,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_4,5,D,C
66,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_5,5,D,C
67,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_6,5,D,C
68,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_7,1,D,D
69,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_8,5,D,C
70,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_9,1,D,D
71,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_10,1,D,D
72,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_11,1,D,D
73,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_12,1,D,D
74,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_13,1,D,D
75,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_14,1,D,D
76,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_15,5,D,C
77,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_16,1,D,D
78,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_17,5,D,C
79,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_18,5,D,C
80,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,BPl_19,1,D,D
81,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_0,1,D,D
82,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_1,5,D,C
83,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_2,1,D,D
84,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_3,1,D,D
85,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_4,1,D,D
86,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_5,1,D,D
87,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_6,5,D,C
88,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_7,5,D,C
89,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_8,5,D,C
90,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_9,1,D,D
91,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_10,5,D,C
92,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_11,5,D,C
93,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_12,5,D,C
94,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_13,1,D,D
95,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_14,1,D,D
96,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_15,5,D,C
97,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_16,5,D,C
98,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_17,1,D,D
99,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_18,1,D,D
100,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,BPl_19,1,D,D
101,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,BPl_0,1,D,D
102,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,BPl_1,5,D,C
103,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,BPl_2,1,D,D
104,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,BPl_3,5,D,C
105,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,BPl_4,1,D,D
106,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,BPl_5,5,D,C
107,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,BPl_6,1,D,D
108,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,BPl_7,1,D,D
109,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,BPl_8,1,D,D
