index_no,model,simulation,scenario,run,step,time,agent_name,payoff,my_play,other_play
0,ipd,ipd, ,0,0,2020-06-17T18:43, ,0,0,0
1,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_0,3,C,C
2,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_1,3,C,C
3,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_2,0,C,D
4,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_3,0,C,D
5,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_4,0,C,D
6,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_5,0,C,D
7,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_6,0,C,D
8,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_7,0,C,D
9,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_8,0,C,D
10,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_9,0,C,D
11,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_10,3,C,C
12,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_11,3,C,C
13,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_12,3,C,C
14,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_13,0,C,D
15,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_14,0,C,D
16,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_15,3,C,C
17,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_16,3,C,C
18,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_17,0,C,D
19,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_18,3,C,C
20,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,GPl_19,0,C,D
21,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_0,0,C,D
22,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_1,3,C,C
23,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_2,3,C,C
24,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_3,3,C,C
25,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_4,0,C,D
26,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_5,0,C,D
27,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_6,3,C,C
28,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_7,0,C,D
29,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_8,3,C,C
30,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_9,3,C,C
31,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_10,0,C,D
32,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_11,3,C,C
33,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_12,0,C,D
34,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_13,3,C,C
35,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_14,0,C,D
36,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_15,0,C,D
37,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_16,0,C,D
38,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_17,3,C,C
39,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_18,3,C,C
40,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,GPl_19,0,C,D
41,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_0,0,C,D
42,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_1,3,C,C
43,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_2,0,C,D
44,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_3,0,C,D
45,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_4,3,C,C
46,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_5,3,C,C
47,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_6,0,C,D
48,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_7,0,C,D
49,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_8,0,C,D
50,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_9,0,C,D
51,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_10,3,C,C
52,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_11,3,C,C
53,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_12,3,C,C
54,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_13,0,C,D
55,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_14,0,C,D
56,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_15,0,C,D
57,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_16,3,C,C
58,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_17,0,C,D
59,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_18,3,C,C
60,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,GPl_19,3,C,C
61,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_0,0,C,D
62,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_1,3,C,C
63,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_2,3,C,C
64,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_3,3,C,C
65,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_4,0,C,D
66,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_5,3,C,C
67,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_6,3,C,C
68,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_7,0,C,D
69,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_8,0,C,D
70,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_9,0,C,D
71,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_10,0,C,D
72,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_11,3,C,C
73,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_12,0,C,D
74,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_13,3,C,C
75,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_14,0,C,D
76,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_15,0,C,D
77,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_16,3,C,C
78,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,GPl_17,0,C,D
