index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,9,99,2020-10-12T13:24,GPl_0,0,C,BPl_14,D,5
1,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_1,0,C,BPl_1,D,5
2,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_2,3,C,GPl_15,C,3
3,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_3,0,C,BPl_0,D,5
4,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_4,0,C,RPl_17,D,5
5,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_5,3,C,TTPl_13,C,3
6,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_6,3,C,GPl_10,C,3
7,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_7,0,C,BPl_11,D,5
8,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_8,3,C,TTPl_17,C,3
9,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_9,3,C,RPl_14,C,3
10,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_10,3,C,GPl_6,C,3
11,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_11,3,C,GPl_18,C,3
12,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_12,0,C,BPl_9,D,5
13,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_13,3,C,RPl_12,C,3
14,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_14,3,C,TTPl_9,C,3
15,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_15,3,C,GPl_2,C,3
16,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_16,0,C,RPl_11,D,5
17,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_17,3,C,RPl_7,C,3
18,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_18,3,C,GPl_11,C,3
19,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,GPl_19,3,C,TTPl_19,C,3
20,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,GPl_1,0,C,RPl_14,D,5
21,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,GPl_2,3,C,GPl_11,C,3
