index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,9,99,2020-10-12T13:24,RPl_0,3,C,GPl_14,C,3
1,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_1,5,D,TTPl_18,C,0
2,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_2,3,C,TTPl_11,C,3
3,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_3,1,D,BPl_19,D,1
4,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_4,1,D,BPl_14,D,1
5,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_5,5,D,RPl_15,C,0
6,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_6,5,D,TTPl_10,C,0
7,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_7,3,C,GPl_17,C,3
8,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_8,3,C,TTPl_14,C,3
9,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_9,1,D,BPl_15,D,1
10,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_10,0,C,BPl_8,D,5
11,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_11,5,D,GPl_16,C,0
12,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_12,3,C,GPl_13,C,3
13,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_13,1,D,BPl_12,D,1
14,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_14,3,C,GPl_9,C,3
15,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_15,0,C,RPl_5,D,5
16,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_16,1,D,BPl_2,D,1
17,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_17,5,D,GPl_4,C,0
18,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_18,1,D,RPl_0,D,1
19,ipd,ipd,Scenario1,0,0,2020-10-12T13:24,RPl_19,3,C,TTPl_16,C,3
20,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_1,3,C,GPl_3,C,3
21,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_2,3,C,TTPl_10,C,3
22,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_3,3,C,TTPl_3,C,3
23,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_4,3,C,RPl_9,C,3
24,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_5,3,C,GPl_4,C,3
25,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_6,5,D,TTPl_4,C,0
26,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_7,5,D,GPl_12,C,0
27,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_8,1,D,BPl_2,D,1
28,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_9,3,C,RPl_4,C,3
29,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_10,1,D,BPl_1,D,1
30,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_11,0,C,BPl_5,D,5
31,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_12,3,C,TTPl_6,C,3
32,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_13,3,C,GPl_0,C,3
33,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_14,5,D,GPl_1,C,0
34,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_15,5,D,GPl_15,C,0
35,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_16,1,D,BPl_10,D,1
36,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_17,5,D,TTPl_15,C,0
37,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_18,1,D,BPl_6,D,1
38,ipd,ipd,Scenario1,0,1,2020-10-12T13:24,RPl_19,3,C,TTPl_7,C,3
39,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_1,1,D,BPl_3,D,1
40,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_2,0,C,BPl_12,D,5
41,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_3,0,C,RPl_15,D,5
42,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_4,5,D,TTPl_8,C,0
43,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_5,0,C,BPl_0,D,5
44,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_6,0,C,BPl_10,D,5
45,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_7,1,D,BPl_18,D,1
46,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_8,3,C,GPl_0,C,3
47,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_9,5,D,RPl_10,C,0
48,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_10,0,C,RPl_9,D,5
49,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_11,1,D,BPl_17,D,1
50,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_12,1,D,BPl_14,D,1
51,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_13,5,D,GPl_19,C,0
52,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_14,0,C,BPl_9,D,5
53,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_15,5,D,RPl_3,C,0
54,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_16,1,D,TTPl_1,D,1
55,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_17,5,D,GPl_8,C,0
56,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_18,3,C,GPl_6,C,3
57,ipd,ipd,Scenario1,0,2,2020-10-12T13:24,RPl_19,0,C,TTPl_16,D,5
58,ipd,ipd,Scenario1,0,3,2020-10-12T13:24,RPl_1,1,D,BPl_18,D,1
59,ipd,ipd,Scenario1,0,3,2020-10-12T13:24,RPl_2,0,C,RPl_6,D,5
60,ipd,ipd,Scenario1,0,3,2020-10-12T13:24,RPl_3,5,D,GPl_0,C,0
61,ipd,ipd,Scenario1,0,3,2020-10-12T13:24,RPl_4,0,C,TTPl_14,D,5
62,ipd,ipd,Scenario1,0,3,2020-10-12T13:24,RPl_5,1,D,BPl_5,D,1
63,ipd,ipd,Scenario1,0,3,2020-10-12T13:24,RPl_6,5,D,RPl_2,C,0
