index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd, ,0,0,2020-06-23T15:58, ,0,0,0,0,0
1,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_0,3,C,RPl_15,C,3
2,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_1,3,C,TTPl_2,C,3
3,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_2,3,C,TTPl_1,C,3
4,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_3,0,C,RPl_8,D,5
5,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_4,3,C,TTPl_15,C,3
6,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_5,3,C,GPl_5,C,3
7,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_6,3,C,RPl_18,C,3
8,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_7,3,C,GPl_14,C,3
9,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_8,3,C,GPl_7,C,3
10,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_9,3,C,TTPl_17,C,3
11,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_10,0,C,BPl_0,D,5
12,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_11,0,C,BPl_12,D,5
13,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_12,3,C,GPl_18,C,3
14,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_13,3,C,RPl_16,C,3
15,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_14,0,C,BPl_1,D,5
16,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_15,3,C,TTPl_4,C,3
17,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_16,0,C,BPl_19,D,5
18,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_17,3,C,TTPl_9,C,3
19,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_18,3,C,GPl_12,C,3
20,ipd,ipd,Scenario1,0,0,2020-06-23T15:58,TTPl_19,3,C,GPl_1,C,3
21,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_0,3,C,TTPl_6,C,3
22,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_1,3,C,RPl_6,C,3
23,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_2,3,C,RPl_18,C,3
24,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_3,3,C,GPl_14,C,3
25,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_4,0,C,BPl_19,D,5
26,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_5,3,C,TTPl_14,C,3
27,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_6,3,C,TTPl_0,C,3
28,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_7,3,C,GPl_18,C,3
29,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_8,0,C,RPl_15,D,5
30,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_9,3,C,GPl_6,C,3
31,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_10,3,C,TTPl_17,C,3
32,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_11,3,C,GPl_16,C,3
33,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_12,3,C,TTPl_15,C,3
34,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_13,3,C,RPl_13,C,3
35,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_14,3,C,TTPl_5,C,3
36,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_15,3,C,TTPl_12,C,3
37,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_16,0,C,RPl_17,D,5
38,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_17,3,C,TTPl_10,C,3
39,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_18,3,C,GPl_10,C,3
40,ipd,ipd,Scenario1,0,1,2020-06-23T15:58,TTPl_19,0,C,RPl_9,D,5
41,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_0,3,C,GPl_4,C,3
42,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_1,0,C,RPl_1,D,5
43,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_2,0,C,BPl_16,D,5
44,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_3,3,C,GPl_12,C,3
45,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_4,5,D,GPl_15,C,0
46,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_5,3,C,GPl_9,C,3
47,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_6,3,C,TTPl_11,C,3
48,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_7,3,C,RPl_0,C,3
49,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_8,5,D,GPl_7,C,0
50,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_9,0,C,BPl_10,D,5
51,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_10,0,C,BPl_14,D,5
52,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_11,3,C,TTPl_6,C,3
53,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_12,0,C,RPl_7,D,5
54,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_13,3,C,GPl_8,C,3
55,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_14,3,C,TTPl_18,C,3
56,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_15,3,C,GPl_1,C,3
57,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_16,1,D,BPl_7,D,1
58,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_17,0,C,BPl_12,D,5
59,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_18,3,C,TTPl_14,C,3
60,ipd,ipd,Scenario1,0,2,2020-06-23T15:58,TTPl_19,5,D,RPl_11,C,0
61,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_0,3,C,RPl_2,C,3
62,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_1,1,D,RPl_13,D,1
63,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_2,1,D,BPl_13,D,1
64,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_3,3,C,RPl_14,C,3
65,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_4,3,C,TTPl_14,C,3
66,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_5,0,C,BPl_6,D,5
67,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_6,3,C,GPl_14,C,3
68,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_7,3,C,TTPl_13,C,3
69,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_8,0,C,RPl_18,D,5
70,ipd,ipd,Scenario1,0,3,2020-06-23T15:58,TTPl_9,1,D,BPl_12,D,1
