index_no,model,simulation,scenario,run,step,time,agent_name,ammount
0,macro_Caiani,macro_Caiani, ,0,0,2020-02-07T14:50, ,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-02-07T14:50,Ba_0,30.16350333470273
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-02-07T14:50,Ba_1,31.738591887783464
3,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-02-07T14:50,Ba_0,30.16350333470273
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-02-07T14:50,Ba_1,31.738591887783464
5,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-02-07T14:50,Ba_0,30.16350333470273
6,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-02-07T14:50,Ba_1,31.738591887783464
7,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-02-07T14:50,Ba_0,30.16350333470273
8,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-02-07T14:50,Ba_1,31.738591887783464
9,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-02-07T14:50,Ba_0,30.16350333470273
10,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-02-07T14:50,Ba_1,31.738591887783464
11,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-02-07T14:50,Ba_0,30.16350333470273
12,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-02-07T14:50,Ba_1,31.738591887783464
13,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-02-07T14:50,Ba_0,30.16350333470273
14,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-02-07T14:50,Ba_1,31.738591887783464
15,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-02-07T14:50,Ba_0,30.16350333470273
16,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-02-07T14:50,Ba_1,31.738591887783464
17,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-02-07T14:50,Ba_0,30.16350333470273
18,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-02-07T14:50,Ba_1,31.738591887783464
19,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-02-07T14:50,Ba_0,30.16350333470273
20,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-02-07T14:50,Ba_1,31.738591887783464
21,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-02-07T14:50,Ba_0,30.16350333470273
22,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-02-07T14:50,Ba_1,31.738591887783464
23,macro_Caiani,macro_Caiani,Scenario1,0,11,2020-02-07T14:50,Ba_0,30.16350333470273
24,macro_Caiani,macro_Caiani,Scenario1,0,11,2020-02-07T14:50,Ba_1,31.738591887783464
25,macro_Caiani,macro_Caiani,Scenario1,0,12,2020-02-07T14:50,Ba_0,30.16350333470273
26,macro_Caiani,macro_Caiani,Scenario1,0,12,2020-02-07T14:50,Ba_1,31.738591887783464
27,macro_Caiani,macro_Caiani,Scenario1,0,13,2020-02-07T14:50,Ba_0,30.16350333470273
28,macro_Caiani,macro_Caiani,Scenario1,0,13,2020-02-07T14:50,Ba_1,31.738591887783464
29,macro_Caiani,macro_Caiani,Scenario1,0,14,2020-02-07T14:50,Ba_0,30.16350333470273
30,macro_Caiani,macro_Caiani,Scenario1,0,14,2020-02-07T14:50,Ba_1,31.738591887783464
31,macro_Caiani,macro_Caiani,Scenario1,0,15,2020-02-07T14:50,Ba_0,30.16350333470273
32,macro_Caiani,macro_Caiani,Scenario1,0,15,2020-02-07T14:50,Ba_1,31.738591887783464
33,macro_Caiani,macro_Caiani,Scenario1,0,16,2020-02-07T14:50,Ba_0,30.16350333470273
34,macro_Caiani,macro_Caiani,Scenario1,0,16,2020-02-07T14:50,Ba_1,31.738591887783464
35,macro_Caiani,macro_Caiani,Scenario1,0,17,2020-02-07T14:50,Ba_0,30.16350333470273
36,macro_Caiani,macro_Caiani,Scenario1,0,17,2020-02-07T14:50,Ba_1,31.738591887783464
37,macro_Caiani,macro_Caiani,Scenario1,0,18,2020-02-07T14:50,Ba_0,30.16350333470273
38,macro_Caiani,macro_Caiani,Scenario1,0,18,2020-02-07T14:50,Ba_1,31.738591887783464
39,macro_Caiani,macro_Caiani,Scenario1,0,19,2020-02-07T14:50,Ba_0,30.16350333470273
40,macro_Caiani,macro_Caiani,Scenario1,0,19,2020-02-07T14:50,Ba_1,31.738591887783464
41,macro_Caiani,macro_Caiani,Scenario1,0,20,2020-02-07T14:50,Ba_0,30.16350333470273
42,macro_Caiani,macro_Caiani,Scenario1,0,20,2020-02-07T14:50,Ba_1,31.738591887783464
43,macro_Caiani,macro_Caiani,Scenario1,0,21,2020-02-07T14:50,Ba_0,30.16350333470273
