index_no,model,simulation,scenario,run,step,time,agent_name,heat_rate,agent_happiness
0,macro_Caiani,macro_Caiani, ,0,0,2019-12-18T15:16, ,0.0,0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:16,CG_0,1.1852026187483358,2
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:16,CG_1,1.0831150032224133,3
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:16,CG_2,1.073756162844384,4
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:16,CG_0,1.1852026187483358,2
5,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:16,CG_1,1.0831150032224133,3
6,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:16,CG_2,1.073756162844384,4
7,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:16,CG_0,1.1852026187483358,2
8,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:16,CG_1,1.0831150032224133,3
9,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:16,CG_2,1.073756162844384,4
10,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:16,CG_0,1.1852026187483358,2
11,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:16,CG_1,1.0831150032224133,3
12,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:16,CG_2,1.073756162844384,4
13,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:16,CG_0,1.1852026187483358,2
14,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:16,CG_1,1.0831150032224133,3
15,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:16,CG_2,1.073756162844384,4
16,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:16,CG_0,1.1852026187483358,2
17,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:16,CG_1,1.0831150032224133,3
18,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:16,CG_2,1.073756162844384,4
19,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:16,CG_0,1.1852026187483358,2
20,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:16,CG_1,1.0831150032224133,3
21,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:16,CG_2,1.073756162844384,4
22,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:16,CG_0,1.1852026187483358,2
23,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:16,CG_1,1.0831150032224133,3
24,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:16,CG_2,1.073756162844384,4
25,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:16,CG_0,1.1852026187483358,2
26,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:16,CG_1,1.0831150032224133,3
27,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:16,CG_2,1.073756162844384,4
28,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:16,CG_0,1.1852026187483358,2
29,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:16,CG_1,1.0831150032224133,3
30,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:16,CG_2,1.073756162844384,4
