index_no,model,simulation,scenario,run,step,time,agent_name,labor_demand,offered_wage
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T16:21, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
3,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
5,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
6,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
7,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
8,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
9,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
10,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
11,macro_Caiani,macro_Caiani,Scenario1,1,0,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
12,macro_Caiani,macro_Caiani,Scenario1,1,0,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
13,macro_Caiani,macro_Caiani,Scenario1,1,1,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
14,macro_Caiani,macro_Caiani,Scenario1,1,1,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
15,macro_Caiani,macro_Caiani,Scenario1,1,2,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
16,macro_Caiani,macro_Caiani,Scenario1,1,2,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
17,macro_Caiani,macro_Caiani,Scenario1,1,3,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
18,macro_Caiani,macro_Caiani,Scenario1,1,3,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
19,macro_Caiani,macro_Caiani,Scenario1,1,4,2020-01-13T16:21,CG_0,31.910829642767162,0.8762415609753249
20,macro_Caiani,macro_Caiani,Scenario1,1,4,2020-01-13T16:21,CG_1,31.024695996188132,1.0581065629194295
