index_no,model,simulation,scenario,run,step,time,agent_name,labor_demand,labor_productivity,offered_wage,desired_output,desired_output_value,expected_sales,output,inventory,inventory_t_1,labor_to_contract,labor_contracted,unitary_cost,price,deposits_cash,capital_stock,desired_perc_inv,perc_inv,mark_up,capacity_utilization,capital_labor_ratio,capital_productivity
0,macro_Caiani,macro_Caiani, ,0,0,2020-04-10T16:06, ,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_0,10.517242937643266,29.474624965384105,1.0880881570245855,<agents_accounting.GoodOrService object at 0x7fd0dbcf1640>,40.24837866370886,39.84314207466094,10.164830804269078,10.5646562983616,10.159419709313676,9.861208118507621,9.727232381577974,10.794891927589145,9.590174729889192,11.002048873791562,10.471818305751649,0.26515620375935184,0.06485292831041743,0.1529939928559565,1,0.1093845442702896,0.1861292501460743
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_1,51.42200359709871,29.822499617061364,0.862779687944858,<agents_accounting.GoodOrService object at 0x7fd0dbce9220>,39.920290113126335,39.99492030620634,10.206412987267313,10.131601882306397,10.206232075386403,10.108285738247806,10.105366170523402,8.691638325393434,11.139349173663142,11.082438001264148,9.11274715352618,0.2533222170400023,0.11624167067961103,0.0639005677124042,1,0.030426953928063376,0.11740897260029959
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_2,7.6307119189052095,29.219487589007407,1.0340103422203946,<agents_accounting.GoodOrService object at 0x7fd0dbcf5550>,40.523704200822365,40.42590669014932,10.07632192255135,10.161996973702507,10.064199463029462,9.382321973500376,9.290650202636995,9.856202248896915,10.144275551997982,10.279476313818899,9.238100975634147,0.2513733841912495,0.08862889465463865,0.0006480579701945849,1,0.14610146357721007,0.094723555513167
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_3,3.0932424344577214,31.19688522087032,0.8260510705862706,<agents_accounting.GoodOrService object at 0x7fd0dbced040>,40.15120178360899,40.11562537999627,10.19686296279119,10.299328465742953,10.263752062130228,9.85887909543492,10.779975668503457,10.659588690335555,10.587187078339138,9.964188915901579,9.760339954530682,0.2567410670575943,0.017091022888067298,0.11387667790072825,1,0.12908420963338352,0.151816342557678
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_4,8.96533666943344,30.855069711801487,0.9507377491985864,<agents_accounting.GoodOrService object at 0x7fd0dbced0a0>,39.61082988757113,39.712038250789675,9.765137443975282,9.655879604426021,9.757087967644562,11.54262845658836,9.37122567625218,8.763891103798397,11.82447883357566,11.161644575122182,10.895240673588525,0.2431474190130247,0.10799688157298837,0.029038582842603133,1,0.15193338878035667,0.08064036705884718
6,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_5,0.11252483430009783,32.33230938862639,1.0193720898880014,<agents_accounting.GoodOrService object at 0x7fd0dbcf5df0>,39.85199368740601,39.8831572204982,10.202756166593876,10.011591810381445,10.042755343473637,11.21746113627285,10.18293158974275,9.403896306527528,10.487711463205907,10.92169790350094,9.396796716791675,0.2510230510345837,0.1147134919073216,0.03575733428761461,1,0.12131449233189609,0.0836554890310674
7,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_6,11.49442509770879,30.512896522619894,1.079052714431974,<agents_accounting.GoodOrService object at 0x7fd0dbcf1c70>,40.20076395176399,40.21216234036481,9.850736027427091,9.840420253021486,9.851818641622305,10.386258392945248,11.7321546656498,12.45168876420497,8.708854070155748,9.44347878707143,9.141062764763117,0.2447125367128967,0.003784516949434935,0.07196652607083595,1,0.11913470558636513,0.055739146631434186
8,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_7,20.35252236327568,28.50667555921963,1.0114892274048761,<agents_accounting.GoodOrService object at 0x7fd0dbce9400>,39.706667365181886,39.86207909231131,10.03058172884348,9.924324747082078,10.0797364742115,9.610219283548016,11.46434204854498,9.167363494436918,10.626521743927427,8.863885205356453,10.529639524359109,0.24896656102908352,0.028252227879435016,0.1191997394001258,1,0.058846281436598084,0.05714317015823866
9,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_8,8.211417409338505,28.626242172586007,0.7974933750468234,<agents_accounting.GoodOrService object at 0x7fd0dbce9f10>,40.30717852415012,40.477695589264854,10.123018124097035,10.004759133078526,10.175276198193261,9.218100744166211,9.227121778229293,9.604367365398524,8.847331105321139,12.254067180514573,10.373115732586982,0.247167211162384,0.055772140902889684,0.07253766615506897,1,0.10549217715142567,0.07848054608803534
10,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,CG_9,10.837857713209557,29.52001784363871,0.8290798854100493,<agents_accounting.GoodOrService object at 0x7fd0dbcf5610>,39.78938967014617,39.60675471904451,10.03604022123918,10.060382424938126,9.877747473836465,9.548460476946111,8.777893690214427,9.440306123804232,11.767482871415442,10.749230853559528,10.1518830682353,0.2540067343639415,0.14764161930142838,-0.013664191445714222,1,0.14524433466448144,0.035009175341520385
