index_no,model,simulation,scenario,run,step,time,agent_name,heat_rate,agent_happiness
0,macro_Caiani,macro_Caiani, ,0,0,2019-12-18T15:13, ,0.0,0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:13,HH_0,0.8074036085359522,4
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:13,HH_1,0.8289777223942217,2
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:13,HH_2,0.6080662342845504,6
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:13,HH_3,1.008315499715633,3
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:13,HH_4,1.0018909427039444,2
6,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:13,HH_0,0.8074036085359522,4
7,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:13,HH_1,0.8289777223942217,2
8,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:13,HH_2,0.6080662342845504,6
9,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:13,HH_3,1.008315499715633,3
10,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:13,HH_4,1.0018909427039444,2
11,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:13,HH_0,0.8074036085359522,4
12,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:13,HH_1,0.8289777223942217,2
13,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:13,HH_2,0.6080662342845504,6
14,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:13,HH_3,1.008315499715633,3
15,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:13,HH_4,1.0018909427039444,2
16,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:13,HH_0,0.8074036085359522,4
17,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:13,HH_1,0.8289777223942217,2
18,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:13,HH_2,0.6080662342845504,6
19,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:13,HH_3,1.008315499715633,3
20,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:13,HH_4,1.0018909427039444,2
21,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:13,HH_0,0.8074036085359522,4
22,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:13,HH_1,0.8289777223942217,2
23,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:13,HH_2,0.6080662342845504,6
24,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:13,HH_3,1.008315499715633,3
25,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:13,HH_4,1.0018909427039444,2
26,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:13,HH_0,0.8074036085359522,4
27,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:13,HH_1,0.8289777223942217,2
28,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:13,HH_2,0.6080662342845504,6
29,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:13,HH_3,1.008315499715633,3
30,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:13,HH_4,1.0018909427039444,2
31,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:13,HH_0,0.8074036085359522,4
32,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:13,HH_1,0.8289777223942217,2
33,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:13,HH_2,0.6080662342845504,6
34,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:13,HH_3,1.008315499715633,3
35,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:13,HH_4,1.0018909427039444,2
36,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:13,HH_0,0.8074036085359522,4
37,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:13,HH_1,0.8289777223942217,2
38,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:13,HH_2,0.6080662342845504,6
39,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:13,HH_3,1.008315499715633,3
40,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:13,HH_4,1.0018909427039444,2
41,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:13,HH_0,0.8074036085359522,4
42,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:13,HH_1,0.8289777223942217,2
43,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:13,HH_2,0.6080662342845504,6
44,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:13,HH_3,1.008315499715633,3
45,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:13,HH_4,1.0018909427039444,2
46,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:13,HH_0,0.8074036085359522,4
47,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:13,HH_1,0.8289777223942217,2
48,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:13,HH_2,0.6080662342845504,6
49,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:13,HH_3,1.008315499715633,3
50,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:13,HH_4,1.0018909427039444,2
