index_no,model,simulation,scenario,run,step,time,agent_name,expected_wage,labor_capacity
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-15T12:29, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_0,0.9961993699677473,2.1055661122154383
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_1,0.9791295495589911,2.0771746788882717
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_2,1.1170593209638011,1.8724998021459704
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_3,0.8294473335784952,2.1844626376502343
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_4,1.0656610455269806,1.898624815643293
6,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_5,1.0381559536687268,1.9665027194139548
7,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_6,0.8470645426518878,1.7825733426954318
8,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_7,1.2500063983978489,1.8368299522361466
9,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_8,0.8389771664890525,1.9521092433755898
10,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_9,1.1454399980906336,1.7067445400720391
11,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_10,1.0527374615551344,1.8984662555907212
12,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_11,1.1944240757292772,1.7828850347435994
13,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_12,1.2922476748723841,2.466355683817306
14,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_13,0.8716921064286604,2.0123084864803964
15,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-15T12:29,HH_14,0.9486333372254755,1.8016645909422013
