index_no,model,simulation,scenario,run,step,time,agent_name,heat_rate,agent_happiness
0,macro_Caiani,macro_Caiani, ,0,0,2019-12-18T15:10, ,0.0,0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:10,KG_0,0.9101823647428999,9
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:10,KG_1,0.7593759817752697,5
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:10,KG_2,0.8512956839445268,2
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:10,KG_0,0.9101823647428999,9
5,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:10,KG_1,0.7593759817752697,5
6,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:10,KG_2,0.8512956839445268,2
7,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:10,KG_0,0.9101823647428999,9
8,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:10,KG_1,0.7593759817752697,5
9,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:10,KG_2,0.8512956839445268,2
10,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:10,KG_0,0.9101823647428999,9
11,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:10,KG_1,0.7593759817752697,5
12,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:10,KG_2,0.8512956839445268,2
13,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:10,KG_0,0.9101823647428999,9
14,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:10,KG_1,0.7593759817752697,5
15,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:10,KG_2,0.8512956839445268,2
16,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:10,KG_0,0.9101823647428999,9
17,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:10,KG_1,0.7593759817752697,5
18,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:10,KG_2,0.8512956839445268,2
19,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:10,KG_0,0.9101823647428999,9
20,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:10,KG_1,0.7593759817752697,5
21,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:10,KG_2,0.8512956839445268,2
22,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:10,KG_0,0.9101823647428999,9
23,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:10,KG_1,0.7593759817752697,5
24,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:10,KG_2,0.8512956839445268,2
25,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:10,KG_0,0.9101823647428999,9
26,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:10,KG_1,0.7593759817752697,5
27,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:10,KG_2,0.8512956839445268,2
28,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:10,KG_0,0.9101823647428999,9
29,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:10,KG_1,0.7593759817752697,5
30,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:10,KG_2,0.8512956839445268,2
