index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,9,99,2020-11-20T17:30,RPl_0,1,D,TTPl_2,D,1
1,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_1,5,D,GPl_11,C,0
2,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_2,0,C,BPl_2,D,5
3,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_3,5,D,GPl_5,C,0
4,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_4,5,D,GPl_19,C,0
5,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_5,0,C,BPl_12,D,5
6,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_6,5,D,GPl_1,C,0
7,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_7,0,C,RPl_15,D,5
8,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_8,3,C,GPl_10,C,3
9,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_9,3,C,TTPl_8,C,3
10,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_10,0,C,RPl_13,D,5
11,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_11,5,D,TTPl_0,C,0
12,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_12,3,C,TTPl_19,C,3
13,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_13,5,D,RPl_10,C,0
14,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_14,5,D,TTPl_12,C,0
15,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_15,5,D,RPl_7,C,0
16,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_16,1,D,RPl_0,D,1
17,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_17,0,C,BPl_3,D,5
18,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_18,5,D,GPl_2,C,0
19,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,RPl_19,3,C,GPl_18,C,3
20,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_1,3,C,TTPl_17,C,3
21,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_2,0,C,BPl_12,D,5
22,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_3,0,C,RPl_10,D,5
23,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_4,0,C,RPl_16,D,5
24,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_5,3,C,GPl_10,C,3
25,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_6,3,C,TTPl_6,C,3
26,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_7,5,D,RPl_12,C,0
27,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_8,1,D,BPl_16,D,1
28,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_9,3,C,TTPl_8,C,3
29,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_10,5,D,RPl_3,C,0
30,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_11,5,D,GPl_16,C,0
31,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_12,0,C,RPl_7,D,5
32,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_13,5,D,TTPl_3,C,0
33,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_14,5,D,TTPl_14,C,0
34,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_15,5,D,GPl_4,C,0
35,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_16,5,D,RPl_4,C,0
36,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_17,3,C,TTPl_4,C,3
37,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_18,5,D,GPl_9,C,0
38,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,RPl_19,5,D,TTPl_1,C,0
39,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,RPl_1,0,C,BPl_8,D,5
