index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,9,99,2020-11-20T17:30,TTPl_0,1,D,BPl_18,D,1
1,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_1,3,C,TTPl_6,C,3
2,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_2,3,C,TTPl_5,C,3
3,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_3,3,C,TTPl_10,C,3
4,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_4,0,C,BPl_16,D,5
5,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_5,3,C,TTPl_2,C,3
6,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_6,3,C,TTPl_1,C,3
7,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_7,0,C,BPl_18,D,5
8,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_8,3,C,RPl_9,C,3
9,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_9,3,C,TTPl_16,C,3
10,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_10,3,C,TTPl_3,C,3
11,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_11,3,C,GPl_12,C,3
12,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_12,0,C,RPl_14,D,5
13,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_13,3,C,GPl_7,C,3
14,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_14,0,C,BPl_5,D,5
15,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_15,3,C,GPl_14,C,3
16,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_16,3,C,TTPl_9,C,3
17,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_17,3,C,GPl_8,C,3
18,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_18,0,C,BPl_10,D,5
19,ipd,ipd,Scenario1,0,0,2020-11-20T17:30,TTPl_19,3,C,RPl_12,C,3
20,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_1,0,C,RPl_19,D,5
21,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_2,3,C,TTPl_11,C,3
22,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_3,0,C,RPl_13,D,5
23,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_4,3,C,RPl_17,C,3
24,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_5,3,C,TTPl_15,C,3
25,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_6,3,C,RPl_6,C,3
26,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_7,0,C,BPl_0,D,5
27,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_8,3,C,RPl_9,C,3
28,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_9,0,C,BPl_18,D,5
29,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_10,3,C,GPl_18,C,3
30,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_11,3,C,TTPl_2,C,3
31,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_12,0,C,BPl_7,D,5
32,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_13,3,C,TTPl_0,C,3
33,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_14,0,C,RPl_14,D,5
34,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_15,3,C,TTPl_5,C,3
35,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_16,3,C,GPl_15,C,3
36,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_17,3,C,RPl_1,C,3
37,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_18,0,C,BPl_5,D,5
38,ipd,ipd,Scenario1,0,1,2020-11-20T17:30,TTPl_19,0,C,BPl_3,D,5
39,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_1,1,D,BPl_1,D,1
40,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_2,3,C,GPl_18,C,3
41,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_3,5,D,RPl_14,C,0
42,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_4,0,C,RPl_17,D,5
43,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_5,0,C,TTPl_9,D,5
44,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_6,0,C,TTPl_14,D,5
45,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_7,5,D,GPl_14,C,0
46,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_8,3,C,GPl_12,C,3
47,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_9,5,D,TTPl_5,C,0
48,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_10,3,C,RPl_8,C,3
49,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_11,0,C,BPl_2,D,5
50,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_12,5,D,GPl_3,C,0
51,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_13,3,C,GPl_8,C,3
52,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_14,5,D,TTPl_6,C,0
53,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_15,0,C,BPl_6,D,5
54,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_16,0,C,BPl_15,D,5
55,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_17,3,C,RPl_0,C,3
56,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_18,5,D,GPl_16,C,0
57,ipd,ipd,Scenario1,0,2,2020-11-20T17:30,TTPl_19,1,D,BPl_4,D,1
58,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_1,5,D,GPl_7,C,0
59,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_2,3,C,RPl_3,C,3
60,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_3,0,C,BPl_9,D,5
61,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_4,5,D,GPl_11,C,0
62,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_5,5,D,GPl_3,C,0
63,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_6,1,D,BPl_12,D,1
64,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_7,3,C,RPl_10,C,3
65,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_8,0,C,BPl_19,D,5
66,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_9,0,C,BPl_5,D,5
67,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_10,3,C,GPl_4,C,3
68,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_11,5,D,RPl_9,C,0
69,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_12,3,C,RPl_15,C,3
70,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_13,3,C,GPl_17,C,3
71,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_14,3,C,GPl_1,C,3
72,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_15,1,D,BPl_3,D,1
73,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_16,5,D,RPl_14,C,0
74,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_17,3,C,RPl_16,C,3
75,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_18,0,C,BPl_15,D,5
76,ipd,ipd,Scenario1,0,3,2020-11-20T17:30,TTPl_19,1,D,BPl_13,D,1
77,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_1,0,C,BPl_13,D,5
78,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_2,3,C,RPl_17,C,3
79,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_3,5,D,TTPl_11,C,0
80,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_4,0,C,BPl_8,D,5
81,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_5,3,C,TTPl_10,C,3
82,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_6,1,D,RPl_8,D,1
83,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_7,3,C,GPl_0,C,3
84,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_8,5,D,TTPl_14,C,0
85,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_9,1,D,BPl_14,D,1
86,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_10,3,C,TTPl_5,C,3
87,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_11,0,C,TTPl_3,D,5
88,ipd,ipd,Scenario1,0,4,2020-11-20T17:30,TTPl_12,3,C,GPl_5,C,3
