index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_0,5,D,RPl_19,C,0
1,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_1,1,D,RPl_0,D,1
2,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_2,5,D,RPl_14,C,0
3,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_3,5,D,TTPl_4,C,0
4,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_4,5,D,TTPl_12,C,0
5,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_5,5,D,TTPl_9,C,0
6,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_6,1,D,BPl_9,D,1
7,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_7,5,D,GPl_10,C,0
8,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_8,5,D,TTPl_0,C,0
9,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_9,1,D,BPl_6,D,1
10,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_10,5,D,RPl_11,C,0
11,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_11,1,D,BPl_17,D,1
12,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_12,1,D,RPl_9,D,1
13,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_13,1,D,RPl_5,D,1
14,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_14,5,D,GPl_5,C,0
15,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_15,5,D,TTPl_7,C,0
16,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_16,5,D,TTPl_8,C,0
17,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_17,1,D,BPl_11,D,1
18,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_18,5,D,GPl_3,C,0
19,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,BPl_19,5,D,GPl_0,C,0
20,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,BPl_0,5,D,GPl_9,C,0
21,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,BPl_1,1,D,BPl_7,D,1
22,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,BPl_2,1,D,RPl_4,D,1
23,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,BPl_3,5,D,TTPl_16,C,0
24,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,BPl_4,1,D,RPl_1,D,1
25,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,BPl_5,5,D,GPl_2,C,0
26,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,BPl_6,5,D,TTPl_6,C,0
