index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_0,3,C,RPl_16,C,3
1,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_1,3,C,GPl_2,C,3
2,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_2,3,C,GPl_1,C,3
3,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_3,3,C,TTPl_9,C,3
4,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_4,3,C,GPl_7,C,3
5,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_5,0,C,BPl_12,D,5
6,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_6,0,C,BPl_7,D,5
7,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_7,3,C,GPl_4,C,3
8,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_8,0,C,BPl_6,D,5
9,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_9,3,C,TTPl_15,C,3
10,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_10,3,C,RPl_13,C,3
11,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_11,0,C,RPl_3,D,5
12,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_12,0,C,BPl_0,D,5
13,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_13,3,C,TTPl_14,C,3
14,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_14,0,C,RPl_0,D,5
15,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_15,0,C,BPl_11,D,5
16,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_16,0,C,BPl_5,D,5
17,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_17,0,C,BPl_1,D,5
18,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_18,0,C,BPl_13,D,5
19,ipd,ipd,Scenario1,0,0,2021-05-20T22:21,GPl_19,3,C,RPl_14,C,3
20,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_0,3,C,GPl_5,C,3
21,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_1,3,C,TTPl_13,C,3
22,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_2,0,C,RPl_8,D,5
23,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_3,3,C,TTPl_2,C,3
24,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_4,3,C,GPl_6,C,3
25,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_5,3,C,GPl_0,C,3
26,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_6,3,C,GPl_4,C,3
27,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_7,3,C,RPl_18,C,3
28,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_8,3,C,TTPl_16,C,3
29,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_9,3,C,TTPl_18,C,3
30,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_10,3,C,RPl_16,C,3
31,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_11,3,C,TTPl_5,C,3
32,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_12,0,C,RPl_0,D,5
33,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_13,3,C,RPl_4,C,3
34,ipd,ipd,Scenario1,0,1,2021-05-20T22:21,GPl_14,3,C,TTPl_12,C,3
