index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_0,1,D,BPl_1,D,1
1,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_1,3,C,GPl_2,C,3
2,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_2,0,C,RPl_18,D,5
3,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_3,5,D,TTPl_6,C,0
4,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_4,5,D,GPl_15,C,0
5,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_5,1,D,BPl_13,D,1
6,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_6,3,C,GPl_16,C,3
7,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_7,3,C,GPl_9,C,3
8,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_8,5,D,GPl_14,C,0
9,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_9,1,D,BPl_12,D,1
10,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_10,3,C,RPl_13,C,3
11,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_11,0,C,BPl_10,D,5
12,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_12,3,C,TTPl_15,C,3
13,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_13,3,C,RPl_10,C,3
14,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_14,0,C,BPl_2,D,5
15,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_15,5,D,GPl_12,C,0
16,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_16,3,C,GPl_7,C,3
17,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_17,5,D,TTPl_17,C,0
18,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_18,5,D,RPl_2,C,0
19,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,RPl_19,0,C,BPl_0,D,5
20,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_0,5,D,TTPl_15,C,0
21,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_1,1,D,BPl_4,D,1
22,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_2,0,C,RPl_5,D,5
23,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_3,3,C,TTPl_12,C,3
24,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_4,1,D,BPl_2,D,1
25,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_5,5,D,RPl_2,C,0
26,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_6,5,D,TTPl_1,C,0
27,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_7,0,C,BPl_9,D,5
28,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_8,0,C,BPl_19,D,5
29,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_9,0,C,BPl_8,D,5
30,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_10,0,C,RPl_15,D,5
31,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_11,0,C,BPl_18,D,5
32,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_12,5,D,GPl_15,C,0
33,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_13,5,D,GPl_6,C,0
34,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_14,3,C,GPl_0,C,3
35,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_15,5,D,RPl_10,C,0
36,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_16,5,D,TTPl_14,C,0
37,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_17,3,C,GPl_5,C,3
38,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_18,3,C,GPl_16,C,3
39,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,RPl_19,3,C,TTPl_4,C,3
40,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_0,5,D,TTPl_11,C,0
41,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_1,5,D,RPl_10,C,0
42,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_2,5,D,TTPl_10,C,0
43,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_3,1,D,RPl_13,D,1
44,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_4,3,C,GPl_13,C,3
45,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_5,1,D,BPl_12,D,1
46,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_6,0,C,TTPl_16,D,5
47,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_7,0,C,BPl_16,D,5
48,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_8,3,C,GPl_7,C,3
49,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_9,0,C,BPl_6,D,5
50,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_10,0,C,RPl_1,D,5
51,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_11,0,C,BPl_4,D,5
52,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_12,0,C,TTPl_9,D,5
53,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_13,1,D,RPl_3,D,1
54,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_14,1,D,TTPl_7,D,1
55,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_15,5,D,GPl_11,C,0
56,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_16,5,D,GPl_19,C,0
57,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_17,3,C,GPl_16,C,3
58,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_18,3,C,GPl_15,C,3
59,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,RPl_19,1,D,BPl_19,D,1
60,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_0,0,C,BPl_19,D,5
61,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_1,1,D,TTPl_3,D,1
62,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_2,5,D,TTPl_4,C,0
63,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_3,5,D,GPl_7,C,0
64,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_4,0,C,TTPl_11,D,5
65,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_5,5,D,TTPl_15,C,0
66,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_6,0,C,BPl_4,D,5
67,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_7,5,D,GPl_19,C,0
68,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_8,0,C,RPl_11,D,5
69,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_9,1,D,BPl_17,D,1
70,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_10,5,D,GPl_3,C,0
71,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_11,5,D,RPl_8,C,0
72,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_12,5,D,GPl_6,C,0
73,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_13,5,D,RPl_14,C,0
74,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_14,0,C,RPl_13,D,5
75,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_15,3,C,TTPl_14,C,3
76,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_16,0,C,TTPl_18,D,5
77,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_17,0,C,BPl_11,D,5
78,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_18,5,D,GPl_16,C,0
79,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,RPl_19,0,C,BPl_0,D,5
80,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,RPl_0,0,C,BPl_5,D,5
81,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,RPl_1,1,D,BPl_2,D,1
82,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,RPl_2,1,D,TTPl_7,D,1
83,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,RPl_3,5,D,TTPl_2,C,0
84,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,RPl_4,5,D,GPl_5,C,0
85,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,RPl_5,1,D,TTPl_3,D,1
86,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,RPl_6,5,D,TTPl_5,C,0
87,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,RPl_7,5,D,GPl_1,C,0
