index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_0,0,C,BPl_8,D,5
1,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_1,3,C,GPl_6,C,3
2,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_2,3,C,GPl_18,C,3
3,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_3,3,C,TTPl_11,C,3
4,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_4,0,C,BPl_3,D,5
5,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_5,3,C,TTPl_16,C,3
6,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_6,0,C,RPl_3,D,5
7,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_7,0,C,BPl_15,D,5
8,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_8,0,C,BPl_16,D,5
9,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_9,0,C,BPl_5,D,5
10,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_10,3,C,TTPl_14,C,3
11,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_11,3,C,TTPl_3,C,3
12,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_12,0,C,BPl_4,D,5
13,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_13,3,C,GPl_13,C,3
14,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_14,3,C,TTPl_10,C,3
15,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_15,3,C,RPl_12,C,3
16,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_16,3,C,TTPl_5,C,3
17,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_17,0,C,RPl_17,D,5
18,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_18,3,C,GPl_1,C,3
19,ipd,ipd,Scenario1,0,0,2021-05-20T01:11,TTPl_19,3,C,GPl_19,C,3
20,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_0,3,C,TTPl_11,C,3
21,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_1,0,C,RPl_6,D,5
22,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_2,0,C,BPl_10,D,5
23,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_3,3,C,GPl_14,C,3
24,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_4,3,C,RPl_19,C,3
25,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_5,0,C,BPl_16,D,5
26,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_6,0,C,BPl_6,D,5
27,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_7,0,C,BPl_15,D,5
28,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_8,3,C,GPl_4,C,3
29,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_9,0,C,BPl_13,D,5
30,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_10,3,C,TTPl_18,C,3
31,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_11,3,C,TTPl_0,C,3
32,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_12,3,C,RPl_3,C,3
33,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_13,3,C,GPl_8,C,3
34,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_14,0,C,RPl_16,D,5
35,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_15,0,C,RPl_0,D,5
36,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_16,0,C,BPl_3,D,5
37,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_17,3,C,GPl_3,C,3
38,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_18,3,C,TTPl_10,C,3
39,ipd,ipd,Scenario1,0,1,2021-05-20T01:11,TTPl_19,3,C,GPl_17,C,3
40,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_0,3,C,TTPl_4,C,3
41,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_1,5,D,GPl_14,C,0
42,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_2,5,D,TTPl_18,C,0
43,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_3,0,C,TTPl_14,D,5
44,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_4,3,C,TTPl_0,C,3
45,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_5,5,D,GPl_9,C,0
46,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_6,1,D,BPl_2,D,1
47,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_7,1,D,RPl_14,D,1
48,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_8,0,C,BPl_1,D,5
49,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_9,5,D,RPl_12,C,0
50,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_10,0,C,RPl_2,D,5
51,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_11,0,C,RPl_0,D,5
52,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_12,3,C,GPl_12,C,3
53,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_13,0,C,BPl_13,D,5
54,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_14,5,D,TTPl_3,C,0
55,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_15,5,D,TTPl_17,C,0
56,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_16,5,D,RPl_6,C,0
57,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_17,0,C,TTPl_15,D,5
58,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_18,0,C,TTPl_2,D,5
59,ipd,ipd,Scenario1,0,2,2021-05-20T01:11,TTPl_19,0,C,BPl_3,D,5
60,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_0,3,C,GPl_10,C,3
61,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_1,3,C,GPl_5,C,3
62,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_2,3,C,GPl_0,C,3
63,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_3,1,D,RPl_1,D,1
64,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_4,0,C,RPl_2,D,5
65,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_5,3,C,GPl_1,C,3
66,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_6,5,D,GPl_12,C,0
67,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_7,1,D,BPl_7,D,1
68,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_8,1,D,BPl_15,D,1
69,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_9,3,C,TTPl_16,C,3
70,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_10,5,D,GPl_2,C,0
71,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_11,5,D,RPl_4,C,0
72,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_12,0,C,BPl_12,D,5
73,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_13,1,D,BPl_1,D,1
74,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_14,3,C,RPl_15,C,3
75,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_15,0,C,RPl_5,D,5
76,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_16,3,C,TTPl_9,C,3
77,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_17,5,D,GPl_9,C,0
78,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_18,5,D,RPl_16,C,0
79,ipd,ipd,Scenario1,0,3,2021-05-20T01:11,TTPl_19,1,D,BPl_18,D,1
80,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_0,0,C,RPl_19,D,5
81,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_1,3,C,TTPl_10,C,3
82,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_2,0,C,RPl_3,D,5
83,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_3,1,D,RPl_5,D,1
84,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_4,5,D,RPl_16,C,0
85,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_5,0,C,RPl_6,D,5
86,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_6,3,C,TTPl_9,C,3
87,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_7,1,D,RPl_2,D,1
88,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_8,1,D,BPl_12,D,1
89,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_9,3,C,TTPl_6,C,3
90,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_10,3,C,TTPl_1,C,3
91,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_11,3,C,GPl_8,C,3
92,ipd,ipd,Scenario1,0,4,2021-05-20T01:11,TTPl_12,5,D,GPl_19,C,0
