index_no,model,simulation,scenario,run,step,time,agent_name,ammount
0,macro_Caiani,macro_Caiani,Scenario1,0,99,2020-11-25T11:58,Ba_0,29.81987337028013
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-11-25T11:58,Ba_1,29.663096951443205
2,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-11-25T11:58,Ba_1,29.663096951443205
3,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-11-25T11:58,Ba_1,29.663096951443205
4,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-11-25T11:58,Ba_1,29.663096951443205
5,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-11-25T11:58,Ba_1,29.663096951443205
6,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-11-25T11:58,Ba_1,29.663096951443205
7,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-11-25T11:58,Ba_1,29.663096951443205
8,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-11-25T11:58,Ba_1,29.663096951443205
9,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-11-25T11:58,Ba_1,29.663096951443205
10,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-11-25T11:58,Ba_1,29.663096951443205
11,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-11-25T11:58,Ba_1,29.663096951443205
12,macro_Caiani,macro_Caiani,Scenario1,0,11,2020-11-25T11:58,Ba_1,29.663096951443205
13,macro_Caiani,macro_Caiani,Scenario1,0,12,2020-11-25T11:58,Ba_1,29.663096951443205
14,macro_Caiani,macro_Caiani,Scenario1,0,13,2020-11-25T11:58,Ba_1,29.663096951443205
15,macro_Caiani,macro_Caiani,Scenario1,0,14,2020-11-25T11:58,Ba_1,29.663096951443205
16,macro_Caiani,macro_Caiani,Scenario1,0,15,2020-11-25T11:58,Ba_1,29.663096951443205
17,macro_Caiani,macro_Caiani,Scenario1,0,16,2020-11-25T11:58,Ba_1,29.663096951443205
18,macro_Caiani,macro_Caiani,Scenario1,0,17,2020-11-25T11:58,Ba_1,29.663096951443205
19,macro_Caiani,macro_Caiani,Scenario1,0,18,2020-11-25T11:58,Ba_1,29.663096951443205
20,macro_Caiani,macro_Caiani,Scenario1,0,19,2020-11-25T11:58,Ba_1,29.663096951443205
21,macro_Caiani,macro_Caiani,Scenario1,0,20,2020-11-25T11:58,Ba_1,29.663096951443205
