index_no,agent_happiness,agent_name,heat_rate,model,run,scenario,simulation,step,time
0,0, ,0.0,dumb_model,0, ,dumb_simulation,0,2019-09-30T19:36
1,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:36
2,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:36
3,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:36
4,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:36
5,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:36
6,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:36
7,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:36
8,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:36
9,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:36
10,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:36
11,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:36
12,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:36
13,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:36
14,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:36
15,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:36
16,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:36
