index_no,model,simulation,scenario,run,step,time,agent_name,heat_rate,agent_happiness
0,dumb_model,dumb_simulation, ,0,0,2019-10-03T11:13, ,0.0,0
1,dumb_model,dumb_simulation,Scenario1,0,0,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
2,dumb_model,dumb_simulation,Scenario1,0,0,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
3,dumb_model,dumb_simulation,Scenario1,0,0,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
4,dumb_model,dumb_simulation,Scenario1,0,1,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
5,dumb_model,dumb_simulation,Scenario1,0,1,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
6,dumb_model,dumb_simulation,Scenario1,0,1,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
7,dumb_model,dumb_simulation,Scenario1,0,2,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
8,dumb_model,dumb_simulation,Scenario1,0,2,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
9,dumb_model,dumb_simulation,Scenario1,0,2,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
10,dumb_model,dumb_simulation,Scenario1,0,3,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
11,dumb_model,dumb_simulation,Scenario1,0,3,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
12,dumb_model,dumb_simulation,Scenario1,0,3,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
13,dumb_model,dumb_simulation,Scenario1,0,4,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
14,dumb_model,dumb_simulation,Scenario1,0,4,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
15,dumb_model,dumb_simulation,Scenario1,0,4,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
16,dumb_model,dumb_simulation,Scenario1,0,5,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
17,dumb_model,dumb_simulation,Scenario1,0,5,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
18,dumb_model,dumb_simulation,Scenario1,0,5,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
19,dumb_model,dumb_simulation,Scenario1,0,6,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
20,dumb_model,dumb_simulation,Scenario1,0,6,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
21,dumb_model,dumb_simulation,Scenario1,0,6,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
22,dumb_model,dumb_simulation,Scenario1,0,7,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
23,dumb_model,dumb_simulation,Scenario1,0,7,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
24,dumb_model,dumb_simulation,Scenario1,0,7,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
25,dumb_model,dumb_simulation,Scenario1,0,8,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
26,dumb_model,dumb_simulation,Scenario1,0,8,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
27,dumb_model,dumb_simulation,Scenario1,0,8,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
28,dumb_model,dumb_simulation,Scenario1,0,9,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
29,dumb_model,dumb_simulation,Scenario1,0,9,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
30,dumb_model,dumb_simulation,Scenario1,0,9,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
31,dumb_model,dumb_simulation,Scenario1,1,0,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
32,dumb_model,dumb_simulation,Scenario1,1,0,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
33,dumb_model,dumb_simulation,Scenario1,1,0,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
34,dumb_model,dumb_simulation,Scenario1,1,1,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
35,dumb_model,dumb_simulation,Scenario1,1,1,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
36,dumb_model,dumb_simulation,Scenario1,1,1,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
37,dumb_model,dumb_simulation,Scenario1,1,2,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
38,dumb_model,dumb_simulation,Scenario1,1,2,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
39,dumb_model,dumb_simulation,Scenario1,1,2,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
40,dumb_model,dumb_simulation,Scenario1,1,3,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
41,dumb_model,dumb_simulation,Scenario1,1,3,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
42,dumb_model,dumb_simulation,Scenario1,1,3,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
43,dumb_model,dumb_simulation,Scenario1,1,4,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
44,dumb_model,dumb_simulation,Scenario1,1,4,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
45,dumb_model,dumb_simulation,Scenario1,1,4,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
46,dumb_model,dumb_simulation,Scenario1,1,5,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
47,dumb_model,dumb_simulation,Scenario1,1,5,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
48,dumb_model,dumb_simulation,Scenario1,1,5,2019-10-03T11:13,Circumspect_Bug_2,1.1736345757500206,9
49,dumb_model,dumb_simulation,Scenario1,1,6,2019-10-03T11:13,Circumspect_Bug_0,0.7849148277741987,3
50,dumb_model,dumb_simulation,Scenario1,1,6,2019-10-03T11:13,Circumspect_Bug_1,0.9728856051337758,5
