index_no,model,simulation,scenario,run,step,time,agent_name,heat_rate,agent_happiness
0,dumb_model,dumb_simulation, ,0,0,2019-07-29T19:56, ,0.0,0
1,dumb_model,dumb_simulation,Scenario1,0,0,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
2,dumb_model,dumb_simulation,Scenario1,0,0,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
3,dumb_model,dumb_simulation,Scenario1,0,0,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
4,dumb_model,dumb_simulation,Scenario1,0,0,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
5,dumb_model,dumb_simulation,Scenario1,0,0,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
6,dumb_model,dumb_simulation,Scenario1,0,1,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
7,dumb_model,dumb_simulation,Scenario1,0,1,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
8,dumb_model,dumb_simulation,Scenario1,0,1,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
9,dumb_model,dumb_simulation,Scenario1,0,1,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
10,dumb_model,dumb_simulation,Scenario1,0,1,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
11,dumb_model,dumb_simulation,Scenario1,0,2,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
12,dumb_model,dumb_simulation,Scenario1,0,2,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
13,dumb_model,dumb_simulation,Scenario1,0,2,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
14,dumb_model,dumb_simulation,Scenario1,0,2,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
15,dumb_model,dumb_simulation,Scenario1,0,2,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
16,dumb_model,dumb_simulation,Scenario1,0,3,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
17,dumb_model,dumb_simulation,Scenario1,0,3,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
18,dumb_model,dumb_simulation,Scenario1,0,3,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
19,dumb_model,dumb_simulation,Scenario1,0,3,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
20,dumb_model,dumb_simulation,Scenario1,0,3,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
21,dumb_model,dumb_simulation,Scenario1,0,4,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
22,dumb_model,dumb_simulation,Scenario1,0,4,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
23,dumb_model,dumb_simulation,Scenario1,0,4,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
24,dumb_model,dumb_simulation,Scenario1,0,4,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
25,dumb_model,dumb_simulation,Scenario1,0,4,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
26,dumb_model,dumb_simulation,Scenario1,0,5,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
27,dumb_model,dumb_simulation,Scenario1,0,5,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
28,dumb_model,dumb_simulation,Scenario1,0,5,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
29,dumb_model,dumb_simulation,Scenario1,0,5,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
30,dumb_model,dumb_simulation,Scenario1,0,5,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
31,dumb_model,dumb_simulation,Scenario1,0,6,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
32,dumb_model,dumb_simulation,Scenario1,0,6,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
33,dumb_model,dumb_simulation,Scenario1,0,6,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
34,dumb_model,dumb_simulation,Scenario1,0,6,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
35,dumb_model,dumb_simulation,Scenario1,0,6,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
36,dumb_model,dumb_simulation,Scenario1,0,7,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
37,dumb_model,dumb_simulation,Scenario1,0,7,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
38,dumb_model,dumb_simulation,Scenario1,0,7,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
39,dumb_model,dumb_simulation,Scenario1,0,7,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
40,dumb_model,dumb_simulation,Scenario1,0,7,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
41,dumb_model,dumb_simulation,Scenario1,0,8,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
42,dumb_model,dumb_simulation,Scenario1,0,8,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
43,dumb_model,dumb_simulation,Scenario1,0,8,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
44,dumb_model,dumb_simulation,Scenario1,0,8,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
45,dumb_model,dumb_simulation,Scenario1,0,8,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
46,dumb_model,dumb_simulation,Scenario1,0,9,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
47,dumb_model,dumb_simulation,Scenario1,0,9,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
48,dumb_model,dumb_simulation,Scenario1,0,9,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
49,dumb_model,dumb_simulation,Scenario1,0,9,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
50,dumb_model,dumb_simulation,Scenario1,0,9,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
51,dumb_model,dumb_simulation,Scenario1,1,0,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
52,dumb_model,dumb_simulation,Scenario1,1,0,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
53,dumb_model,dumb_simulation,Scenario1,1,0,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
54,dumb_model,dumb_simulation,Scenario1,1,0,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
55,dumb_model,dumb_simulation,Scenario1,1,0,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
56,dumb_model,dumb_simulation,Scenario1,1,1,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
57,dumb_model,dumb_simulation,Scenario1,1,1,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
58,dumb_model,dumb_simulation,Scenario1,1,1,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
59,dumb_model,dumb_simulation,Scenario1,1,1,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
60,dumb_model,dumb_simulation,Scenario1,1,1,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
61,dumb_model,dumb_simulation,Scenario1,1,2,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
62,dumb_model,dumb_simulation,Scenario1,1,2,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
63,dumb_model,dumb_simulation,Scenario1,1,2,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
64,dumb_model,dumb_simulation,Scenario1,1,2,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
65,dumb_model,dumb_simulation,Scenario1,1,2,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
66,dumb_model,dumb_simulation,Scenario1,1,3,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
67,dumb_model,dumb_simulation,Scenario1,1,3,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
68,dumb_model,dumb_simulation,Scenario1,1,3,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
69,dumb_model,dumb_simulation,Scenario1,1,3,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
70,dumb_model,dumb_simulation,Scenario1,1,3,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
71,dumb_model,dumb_simulation,Scenario1,1,4,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
72,dumb_model,dumb_simulation,Scenario1,1,4,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
73,dumb_model,dumb_simulation,Scenario1,1,4,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
74,dumb_model,dumb_simulation,Scenario1,1,4,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
75,dumb_model,dumb_simulation,Scenario1,1,4,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
76,dumb_model,dumb_simulation,Scenario1,1,5,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
77,dumb_model,dumb_simulation,Scenario1,1,5,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
78,dumb_model,dumb_simulation,Scenario1,1,5,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
79,dumb_model,dumb_simulation,Scenario1,1,5,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
80,dumb_model,dumb_simulation,Scenario1,1,5,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
81,dumb_model,dumb_simulation,Scenario1,1,6,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
82,dumb_model,dumb_simulation,Scenario1,1,6,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
83,dumb_model,dumb_simulation,Scenario1,1,6,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
84,dumb_model,dumb_simulation,Scenario1,1,6,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
85,dumb_model,dumb_simulation,Scenario1,1,6,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
86,dumb_model,dumb_simulation,Scenario1,1,7,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
87,dumb_model,dumb_simulation,Scenario1,1,7,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
88,dumb_model,dumb_simulation,Scenario1,1,7,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
89,dumb_model,dumb_simulation,Scenario1,1,7,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
90,dumb_model,dumb_simulation,Scenario1,1,7,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
91,dumb_model,dumb_simulation,Scenario1,1,8,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
92,dumb_model,dumb_simulation,Scenario1,1,8,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
93,dumb_model,dumb_simulation,Scenario1,1,8,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
94,dumb_model,dumb_simulation,Scenario1,1,8,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
95,dumb_model,dumb_simulation,Scenario1,1,8,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
96,dumb_model,dumb_simulation,Scenario1,1,9,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
97,dumb_model,dumb_simulation,Scenario1,1,9,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
98,dumb_model,dumb_simulation,Scenario1,1,9,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
99,dumb_model,dumb_simulation,Scenario1,1,9,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
100,dumb_model,dumb_simulation,Scenario1,1,9,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
101,dumb_model,dumb_simulation,Scenario1,2,0,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
102,dumb_model,dumb_simulation,Scenario1,2,0,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
103,dumb_model,dumb_simulation,Scenario1,2,0,2019-07-29T19:56,Funny_Bug_2,1.0095862460795568,2
104,dumb_model,dumb_simulation,Scenario1,2,0,2019-07-29T19:56,Funny_Bug_3,0.8708000458632872,3
105,dumb_model,dumb_simulation,Scenario1,2,0,2019-07-29T19:56,Funny_Bug_4,0.7158378709689217,6
106,dumb_model,dumb_simulation,Scenario1,2,1,2019-07-29T19:56,Funny_Bug_0,0.6848471358327264,3
107,dumb_model,dumb_simulation,Scenario1,2,1,2019-07-29T19:56,Funny_Bug_1,0.925666036327687,4
