index_no,agent_happiness,agent_name,heat_rate,model,run,scenario,simulation,step,time
0,0, ,0.0,dumb_model,0, ,dumb_simulation,0,2019-09-30T19:36
1,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:36
2,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:36
3,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:36
4,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:36
5,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:36
6,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:36
7,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:36
8,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:36
9,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:36
10,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:36
11,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:36
12,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:36
13,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:36
14,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:36
15,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:36
16,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:36
17,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:36
18,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:36
19,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:36
20,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:36
21,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:36
22,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:36
23,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:36
24,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:36
25,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:36
26,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:36
27,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:36
28,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:36
29,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:36
30,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:36
31,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:36
32,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:36
33,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:36
34,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:36
35,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:36
36,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,7,2019-09-30T19:36
37,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,7,2019-09-30T19:36
38,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,7,2019-09-30T19:36
39,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,7,2019-09-30T19:36
40,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,7,2019-09-30T19:36
41,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,8,2019-09-30T19:36
42,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,8,2019-09-30T19:36
43,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,8,2019-09-30T19:36
44,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,8,2019-09-30T19:36
45,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,8,2019-09-30T19:36
46,6,Funny_Bug_0,1.369945454761616,dumb_model,0,Scenario1,dumb_simulation,9,2019-09-30T19:36
47,4,Funny_Bug_1,0.7899385433388226,dumb_model,0,Scenario1,dumb_simulation,9,2019-09-30T19:36
48,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,9,2019-09-30T19:36
49,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,9,2019-09-30T19:36
50,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,9,2019-09-30T19:36
51,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
52,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
53,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
54,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
55,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
56,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
57,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
58,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
59,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
60,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
61,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
62,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
63,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
64,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
65,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
66,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,3,2019-09-30T19:36
